Early Morning,2 glass Luke Warm Water,,,,,,,,,,,,,
Morning Supp.,"Ashwagandha (max 500 gm), Vitamin E (evion 400), Shilajeet (Max 500gm - upto 1000mg)",,,,,,,,,,,,1 glass Milk - 240 ml,
Afternoon,Black Coffee,,,,,,,,,,,,,
Post Dinner,"Sea Code Liver Oil, Vitamin D3 - upto 5000 lu",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Masala-1,"HImalayan Pink Salt (3gm), Ginger, Garlic, Green Chilli, Jeera, Turmeric, Dhaniya Powder, Kitchen King Masala",,,,,,,,,,,,,
Masala-2,"HImalayan Pink Salt (3gm), Oregano, Chilli flakes, Black Pepper (Chaat Masala)",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,every month 1 week same diet from remission last 3/4/5 week's,,,,,,,,,,,,,
AMLYCURE DS,1-2 hrs before breakfast and dinner for liver ,,,,,,,,,,,,,
,Breakfast,,,Lunch,,,Pre-workout,,,Dinner,,,,
Diet - 1,Mix Veg Paneer Egg Bhurji,,,Mix Fruit Bowl,,,With Tea,,,Chicken Stir Fry,,,,
Early Morning,Masala 2,,,Papaya,200gm,,Almonds,20gm,,Masala 1,,,,
Chia Seeds 8gm,Onion,70gm,,Watermelon,180gm,,Cashew,20gm,,Onion,80gm,,,
,Tomato,70gm,,Cantaloupe,180gm,,Pista,20gm,,Tomato,80gm,,,
,Capsicum,40gm,,,,,Walnuts,20gm,,Boneless Chicken,220gm,,,
,Red BP,40gm,,,,,,,,Zucchini,120gm,,,
,Egg Whole,2,,,,,,,,Paneer,100gm,,,
,Egg White,3,,,,,,,,Yellow BP,50gm,,,
,Butter ,14gm,,,,,,,,Matar,50gm,,,
,BB Toast,1,,,,,,,,Olive Oil,14gm,,,
,Paneer,80gm,,,,,,,,,,,,
,,,,,,,,,,,,,,
Diet - 2,Mashed Potato Sandwiches,,,Overnight Oats Pudding,,,Oreo Milkshake,,,Paneer Broccoli Fried Rice,,,,
Early Morning,Masala 2,,,Oats,45gm,,Almond Milk,150gm,,Masala1,,,,
Chia Seeds 8gm,Potato ,100gm,,Milk,1 glass,,Whey Isolate,50gm,,Onion,80gm,,,
,Tomato,80gm,,Chia Seeds,8 gm,,Peanut Butter,30gm,,Tomato,80gm,,,
,Onion,80gm,,Red Apple,120gm,,Oreo Biscuits,3,,Paneer,100gm,,,
,Capsicum,40gm,,Banana,100gm,,,,,Broccoli,100gm,,,
,BB Toast,4,,Blueberry,50gm,,,,,Mushroom,80gm,,,
,Butter,12gm,,Almonds,10gm,,,,,Red BP,50gm,,,
,Cheese slice,2,,Cashew,10gm,,,,,Matar,50gm,,,
,,,,Raisin,10gm,,,,,White Rice ,45gm,,,
,,,,Maple Syrup,14gm,,,,,Olive oil,14gm,,,
,,,,Cinnamon Powder,,,,,,Hot & Sweet chilli sauce,12gm,,,
,,,,,,,,,,,,,,
Diet - 3,Zucchini Besan Chilla,,,Peanut Butter Tortilla Wrap,,,Dates Blueberry Shake,,,Paneer Mix Veg Pasta,,,,
,Masala 2,,,Peanut Butter,50gm,,Black Dates,80gm,,Masala 2,,,,
,Gram Flour,60gm,,Banana,100gm,,Blueberry,40gm,,Onion,80gm,,,
,Tomato,40gm,,Red Apple,80gm,,Cranberry,40gm,,Tomato,80gm,,,
,Onion,40gm,,Large Tortilla,1,,Milk,1 glass,,Broccoli,100gm,,,
,Zucchini,80gm,,Butter,10gm,,Honey,14gm,,Mushroom,100gm,,,
,Olive Oil,12gm,,,,,Almonds,14gm,,Matar,50gm,,,
,Dahi,80gm,,,,,Pista,14gm,,Yellow BP,40gm,,,
,Ketchup,12gm,,,,,Cashew,14gm,,Olive oil,14gm,,,
,,,,,,,,,,Spaghetti,60gm,,,
,,,,,,,,,,Hot & Sweet sauce,12gm,,,
,,,,,,,,,,Paneer,120gm,,,
,,,,,,,,,,,,,,
Diet - 4,Mix Veg Omelet,,,Fruit Bowl,,,Banana Shake,,,Paneer Potato Fried Rice,,,,
,Masala 2,,,Mango,150gm,,Banana,140gm,,Masala 1,,,,
,Onion,40gm,,Pear,100gm,,Milk,1 glass,,Onion,80gm,,,
,Tomato,40gm,,Kharbooja,150gm,,Chia Seeds,4gm,,Tomato,80gm,,,
,Capsicum,40gm,,Black Dates,50gm,,,,,Paneer,100gm,,,
,Yellow BP,40gm,,,,,,,,Potato,100gm,,,
,Egg Whole,2,,,,,,,,Red BP,50gm,,,
,Egg white,2,,,,,,,,French Beans,50gm,,,
,Butter,12gm,,,,,,,,Matar,40gm,,,
,BB Toast,4,,,,,,,,White Rice,50gm,,,
,Ketchup,12gm,,,,,,,,Olive Oil,12gm,,,
,,,,,,,,,,,,,,
Diet - 5,Paneer Bhurji Tortilla Wrap,,,Fruit Bowl,,,Berry Shake,,,Zucchini Chana Dal Rice Roti,,,,
,Masala 2,,,Pear,120gm,,Milk,1 glass,,Masala 1,,,,
,Onion,80gm,,Red Apple,120gm,,Whey Isolate,50gm,,Onion,80gm,,,
,Tomato,80gm,,Kharbooja,180gm,,Strawberry,100gm,,Tomato,80gm,,,
,Capsicum,40gm,,Almonds,14gm,,Raspberry,50gm,,Zucchini,140gm,,,
,Yellow BP,40gm,,Walnuts,14gm,,Honey,12gm,,Chana Dal,40gm,,,
,Paneer,80gm,,Pista,14gm,,,,,White Rice,45gm,,,
,Matar,40gm,,,,,,,,Olive Oil,12gm,,,
