Early Morning,2 glass Luke Warm Water,,,,,,,,,,,,,
Morning Supp.,"Ashwagandha (max 500 gm), Vitamin E (evion 400), Shilajeet (Max 500gm - upto 1000mg)",,,,,,,,,,,,,
Afternoon,Black Coffee,,,,,,,,,,,,1 glass Milk - 240 ml,
Post Dinner,"Sea Code Liver Oil, Vitamin D3 - upto 5000 lu",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Masala-1,"HImalayan Pink Salt (3gm), Ginger, Garlic, Green Chilli, Jeera, Turmeric, Dhaniya Powder, Kitchen King Masala",,,,,,,,,,,,,
Masala-2,"HImalayan Pink Salt (3gm), Oregano, Chilli flakes, Black Pepper (Chaat Masala)",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Breakfast,,,Lunch,,,Pre-workout,,,Dinner,,,,
Diet - 1,Mix Veg Omelet + BB Toast,,,Mix Fruit Bowl,,,,,,Broccoli Mix Veg Fried Rice,,,,
,Masala-1,,,Red Apple,100gm,,,,,Masala-1,,,,
,Egg Whole ,1,,Watermelon,200gm,,,,,Onion,80gm,,,
,Egg White,3,,Almonds,10gm,,,,,Tomato,80gm,,,
,Onion,40gm,,Cashew,10gm,,,,,Broccoli,100gm,,,
,Tomato,40gm,,,,,,,,Carrot,100gm,,,
,Capsicum,40gm,,,,,,,,Potato,80gm,,,
,Butter,12gm,,,,,,,,Red bell pepper,40gm,,,
,BB Toast,2,,,,,,,,Matar,40gm,,,
,,,,,,,,,,White Rice,45gm,,,
,,,,,,,,,,Olive oil,12gm,,,
,,,,,,,,,,Hot & Sweet Chilli Sauce,12 gm,,,
,,,,,,,,,,,,,,
Diet - 2,Paneer Corn stir fry + BB Toast,,,Mix Fruit Bowl,,,,,,Tofu Veggie Fried Rice,,,,
,Masala 1,,,Watermelon,150gm,,,,,Masala 1,,,,
,Onion,80gm,,Red Apple,100gm,,,,,White Rice,45gm,,,
,Tomato,80gm,,Blueberry,50gm,,,,,Zucchini,120gm,,,
,Paneer,100gm,,Strawberry,50gm,,,,,Potato,100gm,,,
,Corn,80gm,,Almonds,14gm,,,,,Red BP,50gm,,,
,Red BP,50gm,,Cashew,14gm,,,,,Matar,50gm,,,
,Yellow BP,50gm,,,,,,,,Mustard Oil,12gm,,,
,Butter,12gm,,,,,,,,Hot & Sweet Chilli Sauce,12gm,,,
,BB Toast,1,,,,,,,,Tofu,100gm,,,
,Tomato Ketchup,12gm,,,,,,,,,,,,
,Eggs Whole,2,,,,,,,,,,,,
,,,,,,,,,,,,,,
Diet - 3,Potato Egg Bhurji + BB Toast,,,Peanut Butter Banana,,,,,,Mix Veg + Mix flour Liquid Dough,,,,
,Masala 1,,,Peanut Butter,45gm,,,,,Masala 1,,,,
,Onion,50gm,,Banana,50gm,,,,,Paneer,100gm,,,
,Tomato,50gm,,BB Toast,2,,,,,Cabbage,100gm,,,
,Potato,100gm,,Butter,8gm,,,,,Carrot,100gm,,,
,Matar,50gm,,,,,,,,Capsicum,50gm,,,
,Egg Whole,2,,,,,,,,Matar,40gm,,,
,Egg White,2,,,,,,,,Mustard Oil,12gm,,,
,Butter,10gm,,,,,,,,Wheat Flour,40gm,,,
,,,,,,,,,,Gram Flour,20gm,,,
,,,,,,,,,,,,,,
Diet - 4,Mix Veg Omelet Tortilla Wrap,,,Mix Fruit Bowl,,,Dry fruits,,,Paneer Cauliflower Fried Rice,,,,
,Masala 1,,,Red Apple,100gm,,Almonds,20gm,,Masala 1,,,,
,Onion,40gm,,Banana,80gm,,Cashew,20gm,,Paneer,80gm,,,
,Yello BP,40gm,,Strawberry,80gm,,Pista,20gm,,Cauliflower,100gm,,,
,Red BP,40gm,,Blueberry,40gm,,Walnuts,20gm,,Mushroom,100gm,,,
,Egg Whole,2,,,,,,,,Tomato,80gm,,,
,Egg White,2,,,,,,,,Onion,80gm,,,
,Large Tortilla,1,,,,,,,,French Beans,80gm,,,
,Butter,12gm,,,,,,,,Matar,40gm,,,
,Ketchup,12gm,,,,,,,,White Rice,45gm,,,
,,,,,,,,,,Olive Oil  ,12gm,,,
,,,,,,,,,,,,,,
Diet - 5,Chickpea Stir fry + BB Toast,,,Mix Fruit Bowl,,,,,,Egg Mix veg fried Pasta,,,Post Workout,
,Chickpea (raw),55gm,,Banana,100gm,,,,,Masala 1,,,Red Apple,120gm
,Tomato,80gm,,Kharbooja,100gm,,,,,Tomato,80gm,,Peanut Butter,50gm
,Onion ,80gm,,Almonds,14gm,,,,,Onion,80gm,,,
,Zucchini,100gm,,Cashew,14gm,,,,,Potato,80gm,,,
,Capsicum,50gm,,Walnuts,14gm,,,,,Broccoli,80gm,,,
,Butter,10gm,,,,,,,,Red BP,50gm,,,
,BB Toast,2,,,,,,,,Matar,50gm,,,
,,,,,,,,,,Egg Whole,2,,,
,,,,,,,,,,Egg White,1,,,
,,,,,,,,,,Olive Oil,12gm,,,
,,,,,,,,,,Pasta Penne,50gm,,,
,,,,,,,,,,,,,,
Diet - 6,Paneer Bhurji Tortilla Wrap,,,Mix Fruit Bowl,,,,,,Tofu mix Fried Rice,,,,
,Masala 1,,,Red Apple,120gm,,,,,Masala 1,,,,
,Paneer,80gm,,Pear,120gm,,,,,Onion,80gm,,,
,Tomato,50gm,,Kiwi,80gm,,,,,Tomato,80gm,,,
,Onion,50gm,,Grapes,80gm,,,,,Tofu,100gm,,,
,Red BP,50gm,,Almonds,20gm,,,,,Cabbage,100gm,,,
,Matar,40gm,,,,,,,,Carrot,80gm,,,
,Large Tortilla,1,,,,,,,,French Beans,80gm,,,
,Butter,10gm,,,,,,,,Matar,50gm,,,
,Ketchup,12gm,,,,,,,,White Rice,45gm,,,
,,,,,,,,,,Olive oil,12gm,,,
,,,,,,,,,,,,,,
Diet - 7,Mix veg cheese omelet,,,Mix Fruit Bowl,,,,,,Paneer Moong dal + rice,,,,
,Masala 1,,,Kharbooja,200gm,,,,,Masala 1,,,,
,Onion,40gm,,Banana,80gm,,,,,Onion,80gm,,,
,Tomato,40gm,,Strawberry,80gm,,,,,Tomato,80gm,,,
,Capsicum,40gm,,Cashew,10gm,,,,,Paneer,100gm,,,
,Egg Whole,1,,Pista,10gm,,,,,Yellow Moong dal,45gm,,,
,Egg White,2,,,,,,,,White Rice,45gm,,,
,Butter,12gm,,,,,,,,Olive oil,12gm,,,
,BB Toast,2,,,,,,,,,,,,
,Ketchup,12gm,,,,,,,,,,,,
,Cheese slice ,1,,,,,,,,,,,,
,,,,,,,,,,,,,,
Diet - 8,3 layer tofy mix veg salad,,,Mix Fruit Bowl,,,,,,Potato Mushroom Pasta,,,,
,Masala 1,,,Red Apple,120gm,,,,,Masala 1,,,,
,Onion,50gm,,Pear,120gm,,,,,Tomato,70gm,,,
,Tomato,50gm,,Strawberry,80gm,,,,,Onion,70gm,,,
,Tofu,80gm,,Blueberry,40gm,,,,,Potato,80gm,,,
,Red BP ,40gm,,Almonds,20gm,,,,,Mushroom,100gm,,,
,Yellow BP,40gm,,Pista,20gm,,,,,Red BP,50gm,,,
,BB Toast,3,,,,,,,,Yellow BP,50gm,,,
,Butter ,12gm,,,,,,,,Matar,40gm,,,
,Ketchup,12gm,,,,,,,,Pasta Penne,50gm,,,
,Cheese slice,2,,,,,,,,Olive Oil,12gm,,,
,,,,,,,,,,Pizza Pasta Sauce,12gm,,,
,,,,,,,,,,,,,,
Diet - 9,Egg Parantha (liquid dough),,,Mix Fruit Bowl,,,,,,Paneer Lauki Chana Dal Rice,,,,
,Masala 1,,,Banana,100gm,,,,,Masala 1,,,,
,Onion,40gm,,Cantaloupe,140gm,,,,,Onion,50gm,,,
,Carrot,40gm,,Black Dates,50gm,,,,,Tomato,50gm,,,
,Red BP,40gm,,Almonds,14gm,,,,,Paneer,100gm,,,
,Maida,20gm,,Cashew,14gm,,,,,Lauki,140gm,,,
,Gram flour,40gm,,,,,,,,Matar,40gm,,,
,Milk,0.5 cup,,,,,,,,Mustard Oil,12gm,,,
,Egg whole,1,,,,,,,,White Rice ,45gm,,,
,Egg white,3,,,,,,,,Chana Dal,45gm,,,
,Olive oil,12gm,,,,,,,,,,,,
,,,,,,,,,,,,,,
